"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL4077644";"";"0";"445.40";"0";"4.41";"7j";"Nc1n[nH]c(N2CCC(N(CCc3ccc(Cl)cc3)Cc3ccccc3Cl)CC2)n1";"IC50";"'='";"149.0";"nM";"6.83";"";"";"UO_0000065";"15.33";"0.31";"2.42";"9.22";"False";"CHEMBL4022941";"Inhibition of human recombinant full length C-terminal His-tagged chitotriosidase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N',N\'\'-triacetylchitotrioside as substrate after 60 mins by fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL3080";"Chitinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4020821";"1";"Scientific Literature";"J Med Chem";"2018";"None"
"CHEMBL4084573";"";"0";"461.01";"0";"4.91";"7k";"Nc1n[nH]c(N2CCC(N(CCc3ccc(Cl)cc3)Cc3cccc4ccccc34)CC2)n1";"IC50";"'='";"36.0";"nM";"7.44";"";"";"UO_0000065";"16.15";"0.31";"2.53";"10.05";"False";"CHEMBL4022941";"Inhibition of human recombinant full length C-terminal His-tagged chitotriosidase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N',N\'\'-triacetylchitotrioside as substrate after 60 mins by fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL3080";"Chitinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4020821";"1";"Scientific Literature";"J Med Chem";"2018";"None"
"CHEMBL4081105";"";"0";"314.44";"0";"1.84";"7m";"Cc1ccc(CCN(C)C2CCN(c3nc(N)n[nH]3)CC2)cc1";"IC50";"'='";"1525.0";"nM";"5.82";"";"";"UO_0000065";"18.50";"0.35";"3.98";"7.85";"False";"CHEMBL4022941";"Inhibition of human recombinant full length C-terminal His-tagged chitotriosidase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N',N\'\'-triacetylchitotrioside as substrate after 60 mins by fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL3080";"Chitinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4020821";"1";"Scientific Literature";"J Med Chem";"2018";"None"
"CHEMBL4067632";"";"0";"356.52";"0";"2.83";"7r";"CN(CCc1ccc(C(C)(C)C)cc1)C1CCN(c2nc(N)n[nH]2)CC1";"IC50";"'='";"4160.0";"nM";"5.38";"";"";"UO_0000065";"15.09";"0.28";"2.55";"7.26";"False";"CHEMBL4022941";"Inhibition of human recombinant full length C-terminal His-tagged chitotriosidase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N',N\'\'-triacetylchitotrioside as substrate after 60 mins by fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL3080";"Chitinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4020821";"1";"Scientific Literature";"J Med Chem";"2018";"None"
"CHEMBL4098997";"";"0";"393.33";"0";"2.68";"7d";"CCN(CCc1ccc(Br)cc1)C1CCN(c2nc(N)n[nH]2)CC1";"IC50";"'='";"105.0";"nM";"6.98";"";"";"UO_0000065";"17.74";"0.40";"4.30";"9.42";"False";"CHEMBL4022941";"Inhibition of human recombinant full length C-terminal His-tagged chitotriosidase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N',N\'\'-triacetylchitotrioside as substrate after 60 mins by fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL3080";"Chitinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4020821";"1";"Scientific Literature";"J Med Chem";"2018";"None"
"CHEMBL4103842";"";"0";"328.46";"0";"2.09";"7n";"CCc1ccc(CCN(C)C2CCN(c3nc(N)n[nH]3)CC2)cc1";"IC50";"'='";"1011.0";"nM";"6.00";"";"";"UO_0000065";"18.25";"0.34";"3.91";"8.09";"False";"CHEMBL4022941";"Inhibition of human recombinant full length C-terminal His-tagged chitotriosidase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N',N\'\'-triacetylchitotrioside as substrate after 60 mins by fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL3080";"Chitinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4020821";"1";"Scientific Literature";"J Med Chem";"2018";"None"
"CHEMBL4076989";"";"0";"376.94";"0";"3.21";"7f";"CC(C)CN(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1";"IC50";"'='";"232.0";"nM";"6.63";"";"";"UO_0000065";"17.60";"0.35";"3.42";"8.96";"False";"CHEMBL4022941";"Inhibition of human recombinant full length C-terminal His-tagged chitotriosidase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N',N\'\'-triacetylchitotrioside as substrate after 60 mins by fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL3080";"Chitinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4020821";"1";"Scientific Literature";"J Med Chem";"2018";"None"
"CHEMBL4077482";"";"0";"410.95";"0";"3.75";"7i";"Nc1n[nH]c(N2CCC(N(CCc3ccc(Cl)cc3)Cc3ccccc3)CC2)n1";"IC50";"'='";"163.0";"nM";"6.79";"";"";"UO_0000065";"16.52";"0.32";"3.04";"9.16";"False";"CHEMBL4022941";"Inhibition of human recombinant full length C-terminal His-tagged chitotriosidase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N',N\'\'-triacetylchitotrioside as substrate after 60 mins by fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL3080";"Chitinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4020821";"1";"Scientific Literature";"J Med Chem";"2018";"None"
"CHEMBL4071081";"";"0";"342.49";"0";"2.65";"7o";"CC(C)c1ccc(CCN(C)C2CCN(c3nc(N)n[nH]3)CC2)cc1";"IC50";"'='";"1175.0";"nM";"5.93";"";"";"UO_0000065";"17.31";"0.32";"3.28";"8.01";"False";"CHEMBL4022941";"Inhibition of human recombinant full length C-terminal His-tagged chitotriosidase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N',N\'\'-triacetylchitotrioside as substrate after 60 mins by fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL3080";"Chitinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4020821";"1";"Scientific Literature";"J Med Chem";"2018";"None"
"CHEMBL4068944";"";"0";"421.39";"0";"3.32";"7g";"CC(C)CN(CCc1ccc(Br)cc1)C1CCN(c2nc(N)n[nH]2)CC1";"IC50";"'='";"123.0";"nM";"6.91";"";"";"UO_0000065";"16.40";"0.36";"3.59";"9.33";"False";"CHEMBL4022941";"Inhibition of human recombinant full length C-terminal His-tagged chitotriosidase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N',N\'\'-triacetylchitotrioside as substrate after 60 mins by fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL3080";"Chitinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4020821";"1";"Scientific Literature";"J Med Chem";"2018";"None"
"CHEMBL1215473";"";"0";"367.25";"0";"1.35";"1";"Nc1n[nH]c(N2CCN(CCOc3ccc(Br)cc3)CC2)n1";"IC50";"'='";"6755.0";"nM";"5.17";"";"";"UO_0000065";"14.08";"0.32";"3.82";"6.21";"False";"CHEMBL4022941";"Inhibition of human recombinant full length C-terminal His-tagged chitotriosidase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N',N\'\'-triacetylchitotrioside as substrate after 60 mins by fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL3080";"Chitinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4020821";"1";"Scientific Literature";"J Med Chem";"2018";"None"
