smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Cn1cnc2c1c(=O)n(C[C@H](O)CO)c(=O)n2C	ZINC000000000221	RRBSZTYIWIHPST-LURJTMIESA-N	254.246	-2.213	0	50	CAAA	in-vitro
OC[C@@H]1O[C@H](Oc2ccc(O)cc2)[C@@H](O)[C@H](O)[C@H]1O	ZINC000000000964	BJRNKVDFDLYUGJ-SVNGYHJRSA-N	272.253	-1.429	0	50	CAAA	endogenous,in-man
Cc1cn([C@H]2O[C@@H](CO)[C@H](O)[C@H]2F)c(=O)[nH]c1=O	ZINC000000001484	GBBJCSTXCAQSSJ-XQXXSGGOSA-N	260.221	-1.566	0	50	CAAA	investigational
Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1	ZINC000000001505	IRSCQMHQWWYFCW-UHFFFAOYSA-N	255.234	-1.971	0	50	CAAA	fda
Nc1nc2c(ncn2CCC(CO)CO)c(=O)[nH]1	ZINC000000001899	JNTOCHDNEULJHD-UHFFFAOYSA-N	253.262	-1.307	0	50	CAAA	fda
OCc1ccccc1O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O	ZINC000000002053	NGFMICBWJRZIBI-WJTVCTBASA-N	286.280	-1.642	0	50	CAAA	in-vitro
Cn1c2ncn(CC3OCCO3)c2c(=O)n(C)c1=O	ZINC000000003837	HWXIGFIVGWUZAO-UHFFFAOYSA-N	266.257	-1.193	0	50	CAAA	biogenic,world
Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)c(=O)[nH]c1=O	ZINC000000006228	GBBJCSTXCAQSSJ-JVZYCSMKSA-N	260.221	-1.566	0	50	CAAA	
Nc1nc2c(ncn2[C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]1	ZINC000000010512	YKBGVTZYEHREMT-SRQIZXRXSA-N	267.245	-1.658	0	50	CAAA	in-vitro
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F	ZINC000000022805	ZGYYPTJWJBEXBC-GQTRHBFLSA-N	269.236	-1.003	0	50	CAAA	
Cn1c(=O)n(C)c(=O)n(CC(=O)N2CCCCC2)c1=O	ZINC000000032425	NAABJINQBBMCRK-UHFFFAOYSA-N	282.300	-1.742	0	50	CAAA	
Cn1c(=O)n(-c2ccc(S(N)(=O)=O)cc2)c(=O)n1C	ZINC000000033762	XQIIPXARTCCNTQ-UHFFFAOYSA-N	284.297	-1.478	0	50	CAAA	
CCOC(=O)Cn1cnc2c1c(=O)[nH]c(=O)n2C	ZINC000000040124	LPIAFGUWHTTZPO-UHFFFAOYSA-N	252.230	-1.014	0	50	CAAA	
CCOC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C	ZINC000000040448	JFECZQLAMOOGJL-UHFFFAOYSA-N	266.257	-1.003	0	50	CAAA	biogenic
OC[C@@H]1O[C@H](Nc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O	ZINC000000040788	LKZGXPMJCWRGTC-MJDLHHQISA-N	255.270	-1.102	0	50	CAAA	
Nc1nonc1C(=O)OCC(=O)N1CCOCC1	ZINC000000051840	DPFZVPUIRPFXCQ-UHFFFAOYSA-N	256.218	-1.333	0	50	CAAA	
Cn1c2nc(NN)n(CCO)c2c(=O)n(C)c1=O	ZINC000000053829	OLUJNDCTEJQANZ-UHFFFAOYSA-N	254.250	-2.288	0	50	CAAA	biogenic
CN(C)C(=O)NCCn1cnc2c1c(=O)n(C)c(=O)n2C	ZINC000000054261	GYQBVTYVSSCCKC-UHFFFAOYSA-N	294.315	-1.295	0	50	CAAA	
Cn1c2ncn(C[C@H](O)CO)c2c(=O)n(C)c1=O	ZINC000000057146	KSCFJBIXMNOVSH-LURJTMIESA-N	254.246	-2.213	0	50	CAAA	biogenic,fda
Cn1c2ncn(C[C@@H](O)CO)c2c(=O)n(C)c1=O	ZINC000000057147	KSCFJBIXMNOVSH-ZCFIWIBFSA-N	254.246	-2.213	0	50	CAAA	biogenic,fda
CCc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O	ZINC000000057318	XACKNLSZYYIACO-VGMNWLOBSA-N	256.258	-1.260	0	50	CAAA	
O=c1[nH]c(=O)n([C@@H]2C[C@H](O)[C@@H](CO)O2)cc1CO	ZINC000000057357	IPAVKOYJGUMINP-RNJXMRFFSA-N	258.230	-2.330	0	50	CAAA	
Cc1[nH]c(=O)[nH]c(=O)c1S(=O)(=O)NC[C@H]1CCCO1	ZINC000000062616	QNAAPEBSPDMFGA-SSDOTTSWSA-N	289.313	-1.171	0	50	CAAA	
Cc1[nH]c(=O)[nH]c(=O)c1S(=O)(=O)NC[C@@H]1CCCO1	ZINC000000062617	QNAAPEBSPDMFGA-ZETCQYMHSA-N	289.313	-1.171	0	50	CAAA	
CN(N)c1nc(N2CCOCC2)nc(N2CCOCC2)n1	ZINC000000063197	GMUVKRMHEWFAEY-UHFFFAOYSA-N	295.347	-1.145	0	50	CAAA	
CC(C)NC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C	ZINC000000068031	LBEHGLCKLIRAHI-UHFFFAOYSA-N	279.300	-1.042	0	50	CAAA	biogenic
OC[C@@H]1O[C@H](Oc2ccccc2)[C@@H](O)[C@H](O)[C@H]1O	ZINC000000068655	NEZJDVYDSZTRFS-SVNGYHJRSA-N	256.254	-1.135	0	50	CAAA	
CC1=CC(=O)N(CCNC(=O)[C@H]2CCCNC2=O)C1=O	ZINC000000077365	PEFDFIMRLJGMSV-VIFPVBQESA-N	279.296	-1.056	0	50	CAAA	
CC1=CC(=O)N(CCNC(=O)[C@@H]2CCCNC2=O)C1=O	ZINC000000077367	PEFDFIMRLJGMSV-SECBINFHSA-N	279.296	-1.056	0	50	CAAA	
CN(C)c1nc(N(C)C)nc(N2CC(=O)N(N)C2=N)n1	ZINC000000082466	XGZIBZHDIUVQHG-UHFFFAOYSA-N	279.308	-1.539	0	50	CAAA	
Cn1c2nc3n(c2c(=O)n(C)c1=O)CCN3CCO	ZINC000000086809	SQIYIDQXNLBVHX-UHFFFAOYSA-N	265.273	-1.754	0	50	CAAA	biogenic
COC(=O)COc1nc2c(c(=O)n(C)c(=O)n2C)n1C	ZINC000000087196	BHYZAFNKWYOGGT-UHFFFAOYSA-N	282.256	-1.478	0	50	CAAA	biogenic
Cn1c(SCC(N)=O)nc2c1c(=O)n(C)c(=O)n2C	ZINC000000087321	OIFLXPXGEYVMCL-UHFFFAOYSA-N	283.313	-1.452	0	50	CAAA	biogenic
Cn1c2nc(N)n(CCCC(=O)O)c2c(=O)n(C)c1=O	ZINC000000087650	ZRNGYGWSMKQBCV-UHFFFAOYSA-N	281.272	-1.119	0	50	CAAA	
CN(C)CCn1cnc2c1c(=O)n(C)c(=O)n2C	ZINC000000089652	CMKUGKVVUUGBHJ-UHFFFAOYSA-N	251.290	-1.005	0	50	CAAA	in-man
Cn1c(N2CCNCC2)nc2c1c(=O)n(C)c(=O)n2C	ZINC000000092355	CWQBJMULHKYRNB-UHFFFAOYSA-N	278.316	-1.620	0	50	CAAA	biogenic
CNc1nc2c(c(=O)[nH]c(=O)n2C)n1C[C@H](O)CO	ZINC000000093090	JHRBFCTUZYXXKX-YFKPBYRVSA-N	269.261	-2.182	0	50	CAAA	
CNc1nc2c(c(=O)[nH]c(=O)n2C)n1C[C@@H](O)CO	ZINC000000093095	JHRBFCTUZYXXKX-RXMQYKEDSA-N	269.261	-2.182	0	50	CAAA	
CN(C)Cc1nnnn1CCn1nnnc1CN(C)C	ZINC000000097819	LAUAPHLQHGHDRS-UHFFFAOYSA-N	280.340	-1.517	0	50	CAAA	
Cc1cn2c(nc3c2c(=O)n(C)c(=O)n3C)n1CCO	ZINC000000099735	BBRIHPVBNPFNCG-UHFFFAOYSA-N	277.284	-1.013	0	50	CAAA	biogenic
Cn1c2c(c(=O)n(C)c1=O)[C@H](CC(=O)O)C(=O)N2	ZINC000000109277	COPXXGSWRBNVHM-BYPYZUCNSA-N	253.214	-1.406	0	50	CAAA	biogenic
Cn1c(N2CCOCC2)nc2c1c(=O)n(C)c(=O)n2C	ZINC000000110365	LZQBJEYAJKIENE-UHFFFAOYSA-N	279.300	-1.193	0	50	CAAA	biogenic
Nc1ccc(S(=O)(=O)N2CC(=O)NC(=O)C2)cc1	ZINC000000134963	FLFBAOVWRTUPPW-UHFFFAOYSA-N	269.282	-1.084	0	50	CAAA	
O=C(CSc1n[nH]c(=O)[nH]c1=O)N1CCOCC1	ZINC000000138172	JLGFOCZSVZBJDU-UHFFFAOYSA-N	272.286	-1.591	0	50	CAAA	
Cn1c(=O)c2c(no[n+]2[O-])c2c(=O)n(C)c(=O)n(C)c21	ZINC000000163912	RBAMQDJSOLCGPA-UHFFFAOYSA-N	279.212	-2.290	0	50	CAAA	
CCn1c(N2CCNCC2)nc2c1c(=O)[nH]c(=O)n2C	ZINC000000180655	FDYKRGIGKFPKEU-UHFFFAOYSA-N	278.316	-1.147	0	50	CAAA	
Cn1c(SCC(N)=O)nc2c1c(=O)[nH]c(=O)n2C	ZINC000000180693	JGDURCKNUZFFTP-UHFFFAOYSA-N	269.286	-1.462	0	50	CAAA	
CCNC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C	ZINC000000182570	WAJQDZLJPXKTKS-UHFFFAOYSA-N	265.273	-1.430	0	50	CAAA	
COC(=O)Cn1c(=O)n(C)c2c1n(C)c(=O)n(C)c2=O	ZINC000000189243	HNWVOMIJGYTHJL-UHFFFAOYSA-N	282.256	-2.090	0	50	CAAA	biogenic
Cn1c2nc(N3CCOCC3)n(CCO)c2c(=O)[nH]c1=O	ZINC000000192102	ALYVUZKKKKTGJF-UHFFFAOYSA-N	295.299	-1.748	0	50	CAAA	
O=C(NCCN1C(=O)CCC1=O)[C@@H]1CCCNC1=O	ZINC000000192519	RCSLDJQOOQARSU-MRVPVSSYSA-N	267.285	-1.222	0	50	CAAA	
O=C(NCCN1C(=O)CCC1=O)[C@H]1CCCNC1=O	ZINC000000192522	RCSLDJQOOQARSU-QMMMGPOBSA-N	267.285	-1.222	0	50	CAAA	
Cc1[nH]c(=O)[nH]c(=O)c1S(=O)(=O)N1CCOCC1	ZINC000000223847	GFDUBUFBBBICKG-UHFFFAOYSA-N	275.286	-1.607	0	50	CAAA	
OC[C@@H]1O[C@H](Nc2ccccc2)[C@H](O)[C@H](O)[C@H]1O	ZINC000000227574	LKZGXPMJCWRGTC-HGCLJGPKSA-N	255.270	-1.102	0	50	CAAA	
Cn1c2nc(N3CCOCC3)[nH]c2c(=O)n(C)c1=O	ZINC000000243638	RVMJTHOVOXFBQR-UHFFFAOYSA-N	265.273	-1.203	0	50	CAAA	
Cn1c(N2CCN(C)CC2)nc2c1c(=O)[nH]c(=O)n2C	ZINC000000265748	HNYHEJBDUUFDMF-UHFFFAOYSA-N	278.316	-1.288	0	50	CAAA	
Cn1c2ncn(Cc3nnc(N)s3)c2c(=O)n(C)c1=O	ZINC000000269992	KRDKNDZQGGQOLJ-UHFFFAOYSA-N	293.312	-1.084	0	50	CAAA	
NC(=O)CN(CC(N)=O)S(=O)(=O)c1ccccc1	ZINC000000296908	ARRNCECDLVWDFH-UHFFFAOYSA-N	271.298	-1.352	0	50	CAAA	
O=c1c2ccccc2c(=O)c1=NNc1c[nH]c(=O)[nH]c1=O	ZINC000000310935	XZDCOAUYRFDSAD-UHFFFAOYSA-N	284.231	-1.260	0	50	CAAA	
CCOC(=O)c1nc2c(=O)n(C)c(=O)n(C)c2n(C)c1=O	ZINC000000339454	OAPZRHJZUHLSAG-UHFFFAOYSA-N	294.267	-1.492	0	50	CAAA	
CO[C@@]12C(=O)N(C)C(=O)N(C)[C@@]1(OC)NC(=O)N2C	ZINC000000339597	NDOKUOMWPDJOAX-UWVGGRQHSA-N	272.261	-1.192	0	50	CAAA	
CO[C@@]12NC(=O)N(C)[C@]1(OC)C(=O)N(C)C(=O)N2C	ZINC000000339599	NDOKUOMWPDJOAX-VHSXEESVSA-N	272.261	-1.192	0	50	CAAA	
CO[C@]12NC(=O)N(C)[C@@]1(OC)C(=O)N(C)C(=O)N2C	ZINC000000339600	NDOKUOMWPDJOAX-ZJUUUORDSA-N	272.261	-1.192	0	50	CAAA	
CO[C@@]12NC(=O)N(C)[C@@]1(OC)C(=O)N(C)C(=O)N2C	ZINC000000339601	NDOKUOMWPDJOAX-NXEZZACHSA-N	272.261	-1.192	0	50	CAAA	
